"Referred.a.Friend" "Number.of.Referrals" "Tenure.in.Months" "Offer" "Phone.Service" "Avg.Monthly.Long.Distance.Charges" "Multiple.Lines" "Internet.Service" "Internet.Type" "Avg.Monthly.GB.Download" "Online.Security" "Online.Backup" "Device.Protection.Plan" "Premium.Tech.Support" "Streaming.TV" "Streaming.Movies" "Streaming.Music" "Unlimited.Data" "Contract" "Paperless.Billing" "Payment.Method" "Monthly.Charge" "Total.Regular.Charges" "Total.Refunds" "Total.Extra.Data.Charges" "Total.Long.Distance.Charges" "Gender" "Age" "Married" "Dependents" "Number.of.Dependents" "Latitude" "Longitude" "Population" "Churn.Value" "CLTV" "Total.Customer.Svc.Requests" "Product.Service.Issues.Reported" "Customer.Satisfaction"
"3330" "No" 0 25 "Offer C" "Yes" 17.64 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Mailed Check" 20.15 536.35 0 0 441 "Male" 43 "No" "No" 0 38.488431 -122.752839 40270 0 3848 1 0 "-99"
"4285" "No" 0 2 "Offer E" "No" 0 "No" "Yes" "DSL" 5 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 24.5 46.4 0 2 0 "Female" 34 "No" "No" 0 37.449537 -121.994813 2147 0 5786 0 0 "-99"
"4869" "Yes" 1 47 "Offer B" "Yes" 39.25 "Yes" "Yes" "Fiber Optic" 26 "No" "Yes" "No" "No" "No" "No" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 54.25 2538.2 0 660 1844.75 "Male" 28 "Yes" "Yes" 1 33.200369 -116.192313 2863 0 2320 0 0 "-99"
"4399" "No" 0 13 "Offer D" "Yes" 7.33 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "Yes" "Bank Withdrawal" 19.95 253.8 0 0 95.29 "Male" 34 "No" "No" 0 38.468893 -122.580539 25718 0 2252 0 0 "-99"
"6098" "Yes" 1 55 "None" "Yes" 8.39 "Yes" "Yes" "Fiber Optic" 52 "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 85.1 4657.95 0 2422 461.45 "Female" 37 "Yes" "Yes" 3 33.818 -117.974404 81333 0 5661 2 1 "s3"
"946" "No" 0 62 "None" "Yes" 47.8 "Yes" "Yes" "Cable" 8 "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Bank Withdrawal" 110.75 7053.35 0 564 2963.6 "Male" 66 "No" "No" 0 33.954017 -118.402447 39334 0 5166 0 0 "-99"
"1367" "Yes" 4 13 "Offer D" "Yes" 45.6 "No" "Yes" "DSL" 12 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Mailed Check" 100.516 1162.85 0 13.95 592.8 "Male" 54 "Yes" "No" 0 38.200231 -121.235034 6317 1 5295 1 1 "-99"
"6800" "No" 0 1 "None" "Yes" 36.33 "No" "Yes" "Fiber Optic" 4 "No" "No" "No" "No" "Yes" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 54.65 54.65 0 0 36.33 "Female" 41 "No" "No" 0 34.108833 -118.229715 47534 0 5882 0 0 "-99"
"6064" "No" 0 69 "Offer A" "Yes" 8.46 "Yes" "Yes" "Cable" 21 "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Bank Withdrawal" 99.35 6856.45 0 1440 583.74 "Male" 55 "Yes" "Yes" 1 33.617108 -117.253349 19368 0 4637 0 0 "-99"
"1501" "No" 0 1 "None" "Yes" 7.26 "No" "Yes" "DSL" 10 "No" "No" "Yes" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 79.404 76.35 0 0 7.26 "Female" 63 "No" "No" 0 33.823943 -118.111335 37417 1 5613 5 0 "-99"
"3409" "No" 0 33 "None" "Yes" 15.69 "Yes" "Yes" "DSL" 24 "Yes" "Yes" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 60.9 2033.85 0 0 517.77 "Female" 38 "No" "No" 0 38.652065 -121.25441 40750 0 3009 1 0 "s4"
"228" "Yes" 1 50 "Offer B" "Yes" 31.56 "Yes" "Yes" "Fiber Optic" 4 "No" "Yes" "Yes" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 98.852 4888.7 0 0 1578 "Female" 67 "Yes" "No" 0 34.506627 -118.699048 22177 1 5863 1 2 "-99"
"302" "No" 0 4 "None" "Yes" 26.23 "Yes" "Yes" "Cable" 32 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 77.896 321.75 0 103 104.92 "Female" 68 "No" "No" 0 38.508735 -121.678813 67411 1 2122 2 0 "s1"
"4367" "No" 0 11 "None" "Yes" 9.52 "No" "Yes" "Cable" 4 "No" "Yes" "Yes" "Yes" "No" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 94.2 999.9 0 40 104.72 "Female" 54 "No" "No" 0 37.394536 -120.890747 7177 1 2405 0 0 "-99"
"506" "Yes" 3 28 "None" "No" 0 "No" "Yes" "Fiber Optic" 58 "No" "No" "No" "No" "Yes" "No" "No" "No" "One Year" "Yes" "Bank Withdrawal" 35.9 973.65 0 565 0 "Female" 75 "Yes" "Yes" 3 32.980678 -116.262854 3577 0 5444 0 0 "-99"
"1194" "No" 0 1 "Offer E" "No" 0 "No" "Yes" "DSL" 32 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 25.792 24.8 0 0 0 "Male" 60 "No" "No" 0 34.042286 -117.756106 69974 1 5087 2 2 "s2"
"1273" "No" 0 3 "Offer E" "Yes" 26.52 "Yes" "Yes" "DSL" 11 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 78.104 270.7 0 30 79.56 "Female" 63 "No" "No" 0 32.961064 -117.134917 47224 0 4965 6 1 "-99"
"579" "Yes" 5 45 "None" "Yes" 40.85 "No" "Yes" "Cable" 24 "No" "No" "Yes" "No" "No" "Yes" "No" "Yes" "One Year" "Yes" "Bank Withdrawal" 86.1 3861.45 1 0 1838.25 "Female" 67 "Yes" "No" 0 37.750553 -122.197175 30751 0 2701 0 0 "-99"
"6469" "No" 0 71 "None" "Yes" 25.45 "Yes" "Yes" "Fiber Optic" 59 "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "Yes" "Bank Withdrawal" 114 8175.9 0 0 1806.95 "Male" 25 "Yes" "Yes" 1 37.394411 -120.127262 986 0 5600 1 0 "s4"
"5086" "No" 0 3 "None" "Yes" 48.3 "No" "Yes" "Cable" 42 "No" "No" "Yes" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 57.55 161.45 0 0 144.9 "Female" 21 "No" "No" 0 35.735694 -118.738483 296 0 4099 0 0 "-99"
"271" "Yes" 1 27 "None" "Yes" 39.49 "Yes" "Yes" "DSL" 8 "No" "Yes" "Yes" "No" "No" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 99.372 2510.2 0 201 1066.23 "Male" 70 "Yes" "No" 0 36.622237 -119.521126 12587 1 2999 2 1 "-99"
"5829" "Yes" 8 42 "None" "Yes" 20.58 "Yes" "Yes" "Fiber Optic" 13 "No" "No" "Yes" "Yes" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 85.9 3729.75 0 485 864.36 "Female" 60 "Yes" "No" 0 34.137319 -118.029837 30028 0 2219 4 0 "-99"
"841" "Yes" 9 52 "None" "Yes" 27.74 "Yes" "Yes" "Fiber Optic" 18 "No" "Yes" "Yes" "No" "Yes" "Yes" "No" "Yes" "One Year" "Yes" "Bank Withdrawal" 106.5 5621.85 0 0 1442.48 "Female" 70 "Yes" "No" 0 35.996923 -120.000951 1809 0 4499 0 0 "-99"
"1334" "No" 0 34 "Offer C" "Yes" 4.66 "No" "Yes" "Cable" 23 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 72.8 2416.1 1 556 158.44 "Female" 61 "No" "No" 0 37.676249 -122.132415 26240 0 2318 4 2 "s2"
"1648" "Yes" 1 30 "Offer C" "Yes" 10.5 "Yes" "Yes" "Cable" 24 "No" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Credit Card" 97.812 2866.45 0 0 315 "Male" 33 "Yes" "No" 0 37.770533 -122.445121 38756 1 4095 4 1 "-99"
"4609" "Yes" 1 41 "Offer B" "No" 0 "No" "Yes" "Fiber Optic" 16 "Yes" "No" "Yes" "No" "No" "No" "No" "Yes" "One Year" "No" "Credit Card" 35.4 1412.4 0 0 0 "Female" 37 "Yes" "Yes" 2 41.017282 -121.468945 1902 0 4375 0 0 "-99"
"4185" "Yes" 2 15 "None" "Yes" 46.47 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.35 278.85 0 0 697.05 "Male" 19 "Yes" "Yes" 3 37.786031 -122.437301 33122 0 2742 2 1 "-99"
"3589" "Yes" 6 59 "None" "Yes" 14.49 "Yes" "Yes" "Cable" 25 "Yes" "Yes" "No" "Yes" "No" "No" "No" "Yes" "One Year" "No" "Mailed Check" 65.5 3801.3 0 0 854.91 "Female" 57 "Yes" "No" 0 39.246654 -120.029273 4806 0 5631 0 0 "-99"
"6806" "No" 0 27 "Offer C" "Yes" 39.77 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 20.35 531.6 0 0 1073.79 "Male" 42 "No" "No" 0 34.063947 -118.383001 8321 0 4962 0 0 "-99"
"5667" "Yes" 1 64 "None" "Yes" 4.76 "No" "Yes" "DSL" 8 "Yes" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "No" "Two Year" "Yes" "Credit Card" 104.05 6605.55 0 528 304.64 "Male" 61 "Yes" "No" 0 40.936285 -121.572692 344 0 4337 0 0 "-99"
"3476" "No" 0 23 "Offer D" "Yes" 35.03 "Yes" "Yes" "Cable" 3 "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "One Year" "Yes" "Credit Card" 73.75 1756.6 0 5.27 805.69 "Female" 37 "No" "No" 0 38.685069 -121.543709 854 0 3483 0 0 "-99"
"4892" "Yes" 1 67 "None" "Yes" 23.13 "Yes" "Yes" "DSL" 24 "Yes" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "No" "One Year" "No" "Credit Card" 109.9 7332.4 0 1760 1549.71 "Male" 36 "Yes" "No" 0 32.741859 -117.090353 73006 0 5416 0 0 "-99"
"3544" "Yes" 1 47 "Offer B" "Yes" 15.59 "No" "Yes" "DSL" 52 "Yes" "Yes" "Yes" "No" "No" "Yes" "Yes" "Yes" "One Year" "Yes" "Bank Withdrawal" 96.1 4391.45 0 228.36 732.73 "Male" 23 "Yes" "Yes" 2 41.962127 -122.527696 1026 0 5793 1 2 "-99"
"3537" "Yes" 8 7 "None" "No" 0 "No" "Yes" "DSL" 17 "Yes" "No" "No" "Yes" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 34.65 246.6 0 42 0 "Female" 37 "Yes" "Yes" 1 39.84784 -122.544556 84 0 5996 1 0 "s3"
"487" "No" 0 1 "None" "Yes" 27.65 "No" "Yes" "DSL" 2 "No" "No" "No" "Yes" "No" "No" "No" "Yes" "One Year" "No" "Bank Withdrawal" 74.7 74.7 0 0 27.65 "Male" 79 "No" "No" 0 33.873395 -118.37019 37322 0 4182 0 0 "-99"
"1120" "No" 0 57 "Offer B" "Yes" 9.1 "Yes" "Yes" "Cable" 16 "No" "Yes" "Yes" "No" "Yes" "Yes" "No" "No" "Two Year" "Yes" "Bank Withdrawal" 79.75 4438.2 0 710 518.7 "Male" 72 "No" "No" 0 34.2112 -118.230625 7527 0 5371 2 0 "-99"
"4012" "No" 0 43 "None" "Yes" 22.83 "Yes" "Yes" "Cable" 47 "No" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Credit Card" 104.3 4451.85 0 2092 981.69 "Male" 20 "Yes" "Yes" 2 35.996923 -120.000951 1809 0 3927 1 0 "s5"
"5607" "Yes" 5 58 "Offer B" "Yes" 40.74 "No" "Yes" "Fiber Optic" 17 "No" "Yes" "Yes" "No" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 91.55 5511.65 0 0 2362.92 "Female" 49 "Yes" "Yes" 2 38.549185 -121.328386 19611 0 6423 1 0 "-99"
"1919" "Yes" 1 48 "Offer B" "Yes" 23.95 "Yes" "Yes" "Cable" 33 "No" "No" "No" "No" "No" "Yes" "Yes" "No" "One Year" "Yes" "Mailed Check" 85.332 4029.95 0 1330 1149.6 "Female" 41 "Yes" "No" 0 34.223244 -119.18012 79736 1 3365 1 0 "-99"
"6405" "No" 0 9 "None" "Yes" 48.38 "No" "Yes" "Fiber Optic" 8 "No" "No" "Yes" "No" "No" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Credit Card" 85.3 781.4 0 63 435.42 "Female" 64 "No" "No" 0 37.160194 -121.945611 10172 0 5850 2 0 "s5"
"664" "No" 0 4 "None" "No" 0 "No" "Yes" "Fiber Optic" 10 "No" "Yes" "No" "No" "Yes" "Yes" "No" "Yes" "Two Year" "Yes" "Credit Card" 50.95 207.35 0 2.07 0 "Male" 72 "No" "No" 0 34.165783 -118.399795 27453 0 2104 2 1 "s3"
"6592" "Yes" 6 55 "Offer B" "Yes" 41.18 "Yes" "Yes" "Fiber Optic" 18 "Yes" "No" "No" "No" "Yes" "Yes" "Yes" "No" "One Year" "No" "Credit Card" 100.9 5448.6 0 981 2264.9 "Female" 34 "Yes" "Yes" 1 38.33788 -120.954202 9752 0 6153 1 0 "-99"
"6159" "Yes" 5 33 "None" "Yes" 4.15 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.05 669.45 0 0 136.95 "Female" 34 "Yes" "No" 0 35.690535 -118.552784 2515 0 5759 0 0 "-99"
"5772" "Yes" 1 9 "None" "Yes" 36.94 "No" "Yes" "DSL" 16 "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 101.5 906.85 0 145 332.46 "Male" 33 "Yes" "Yes" 1 33.890853 -118.297967 47758 0 2757 0 0 "-99"
"5691" "Yes" 5 53 "None" "Yes" 24.33 "No" "Yes" "Fiber Optic" 52 "No" "Yes" "No" "Yes" "Yes" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 92.55 4779.45 0 0 1289.49 "Male" 25 "Yes" "Yes" 2 40.331975 -121.460674 78 0 4700 0 0 "-99"
"2338" "No" 0 12 "None" "Yes" 5.16 "No" "Yes" "DSL" 18 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 46.332 480.6 1 87 61.92 "Female" 33 "No" "Yes" 1 37.333851 -121.891147 561 0 4162 4 1 "-99"
"419" "No" 0 6 "None" "Yes" 47.35 "Yes" "Yes" "Cable" 32 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 102.18 560.6 0 179 284.1 "Female" 79 "No" "No" 0 33.840524 -118.148403 30173 1 3330 3 0 "-99"
"6581" "Yes" 10 9 "None" "Yes" 8.1 "No" "Yes" "Fiber Optic" 20 "No" "No" "No" "Yes" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 75.85 647.5 0 0 72.9 "Female" 39 "Yes" "Yes" 1 38.834469 -122.127193 2756 0 4843 1 0 "s5"
"6273" "Yes" 8 30 "Offer C" "Yes" 11.6 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.3 602.9 0 0 348 "Female" 49 "Yes" "Yes" 1 37.285677 -122.224165 1622 0 4453 0 0 "-99"
"391" "Yes" 1 21 "Offer D" "Yes" 19.74 "No" "Yes" "DSL" 20 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 71.864 1474.75 0 0 414.54 "Male" 76 "Yes" "No" 0 37.499411 -122.196318 32368 0 3853 6 0 "s2"
"2070" "No" 0 1 "Offer E" "Yes" 23.16 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Mailed Check" 20.25 20.25 0 0 23.16 "Male" 41 "No" "No" 0 38.419088 -122.024568 32564 1 2959 3 0 "-99"
"4065" "Yes" 1 21 "Offer D" "No" 0 "No" "Yes" "DSL" 59 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 26.05 565.75 0 334 0 "Male" 23 "Yes" "Yes" 3 35.996008 -120.85305 670 0 4302 2 0 "s5"
"6042" "Yes" 6 71 "Offer A" "Yes" 5.22 "Yes" "Yes" "Fiber Optic" 10 "Yes" "Yes" "No" "No" "Yes" "No" "No" "No" "One Year" "No" "Credit Card" 95.65 6856.95 0 686 370.62 "Female" 53 "Yes" "No" 0 33.930931 -117.361788 42425 0 5856 1 0 "s3"
"1327" "No" 0 7 "None" "Yes" 9.14 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 19.25 112.3 0 0 63.98 "Male" 53 "No" "No" 0 37.674002 -122.076796 60274 1 4489 4 0 "-99"
"4167" "Yes" 3 12 "None" "Yes" 25.09 "Yes" "Yes" "DSL" 17 "Yes" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "One Year" "No" "Bank Withdrawal" 78.85 876.75 0 0 301.08 "Female" 46 "Yes" "No" 0 37.573633 -122.455167 38885 0 2495 2 1 "-99"
"1985" "Yes" 1 56 "Offer B" "Yes" 13.2 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "Yes" "Credit Card" 25.15 1327.15 0 0 739.2 "Male" 19 "Yes" "No" 0 37.639215 -122.037554 72993 0 6484 4 1 "-99"
"6669" "No" 0 41 "None" "Yes" 7.83 "Yes" "Yes" "Fiber Optic" 19 "Yes" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "Yes" "Credit Card" 81.3 3190.65 0 0 321.03 "Female" 32 "No" "No" 0 40.077028 -121.494168 1351 0 2299 1 1 "s4"
"6569" "Yes" 7 71 "None" "Yes" 29.78 "Yes" "Yes" "Fiber Optic" 22 "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Two Year" "No" "Bank Withdrawal" 109.25 7707.7 0 169.57 2114.38 "Female" 32 "Yes" "No" 0 40.170357 -123.417298 259 0 5044 0 0 "-99"
"4483" "No" 0 5 "None" "Yes" 24.16 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 19.95 107.05 0 0 120.8 "Male" 31 "No" "No" 0 38.652065 -121.25441 40750 0 4281 0 0 "-99"
"5289" "No" 0 45 "None" "Yes" 40.59 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "No" "Bank Withdrawal" 18.85 867.3 0 0 1826.55 "Male" 47 "No" "No" 0 37.708327 -122.083473 41698 0 2653 2 0 "s4"
"1697" "No" 0 10 "Offer D" "Yes" 40.22 "No" "Yes" "Fiber Optic" 45 "No" "No" "Yes" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 98.696 1048.85 0 472 402.2 "Male" 25 "No" "No" 0 38.049457 -121.21653 6951 1 2832 6 3 "-99"
"6609" "No" 0 2 "None" "Yes" 41.08 "Yes" "Yes" "Fiber Optic" 25 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 74.9 136.05 0 34 82.16 "Female" 50 "No" "No" 0 38.954144 -121.482536 947 0 2044 1 0 "-99"
"2636" "Yes" 4 70 "Offer A" "Yes" 5.77 "Yes" "Yes" "Fiber Optic" 48 "Yes" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "No" "One Year" "Yes" "Credit Card" 108.15 7930.55 0 3807 403.9 "Female" 27 "Yes" "No" 0 33.864622 -118.179626 91664 0 5192 1 1 "-99"
"3719" "Yes" 8 55 "None" "Yes" 27.75 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.4 1083 0 0 1526.25 "Female" 24 "Yes" "Yes" 2 34.150354 -118.518292 27614 0 5366 1 0 "s5"
"4801" "No" 0 19 "None" "Yes" 11.42 "Yes" "Yes" "DSL" 41 "Yes" "No" "Yes" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 84.75 1651.95 1 677 216.98 "Male" 29 "No" "No" 0 34.200175 -118.540958 68018 1 5157 2 0 "-99"
"3049" "No" 0 34 "None" "Yes" 20.75 "No" "Yes" "Fiber Optic" 27 "Yes" "No" "Yes" "Yes" "Yes" "No" "No" "Yes" "Two Year" "No" "Credit Card" 67.65 2339.3 0 0 705.5 "Female" 22 "No" "No" 0 36.657462 -119.595293 1965 0 4263 0 0 "-99"
"6578" "No" 0 12 "Offer D" "Yes" 19.38 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 21.05 235.8 0 0 232.56 "Male" 19 "No" "Yes" 2 38.392821 -121.799917 18529 0 4001 1 0 "-99"
"3508" "Yes" 5 3 "None" "Yes" 41.9 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 19.6 55.25 0 0 125.7 "Female" 28 "Yes" "No" 0 39.435756 -121.552071 1254 0 2941 0 0 "-99"
"1807" "Yes" 1 21 "Offer D" "Yes" 1.21 "Yes" "Yes" "Cable" 18 "Yes" "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "Yes" "Bank Withdrawal" 108.056 2254.2 0 0 25.41 "Female" 57 "Yes" "No" 0 34.052917 -118.255178 21 1 3769 1 0 "-99"
"374" "No" 0 1 "Offer E" "Yes" 19.87 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.05 20.05 0 0 19.87 "Male" 69 "No" "No" 0 34.956577 -119.750142 798 1 3491 4 0 "-99"
"6563" "No" 0 21 "Offer D" "Yes" 27.6 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 19.6 397 0 0 579.6 "Male" 45 "No" "Yes" 2 40.440636 -124.098739 1125 0 2447 0 0 "-99"
"3467" "Yes" 5 29 "None" "Yes" 24.64 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Mailed Check" 20.65 654.85 0 0 714.56 "Male" 20 "Yes" "Yes" 1 38.512569 -121.495184 44683 0 4667 1 0 "-99"
"4510" "No" 0 10 "None" "Yes" 4.76 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Mailed Check" 20.55 187.35 0 0 47.6 "Female" 63 "No" "No" 0 38.419088 -122.024568 32564 0 3595 1 0 "-99"
"3956" "Yes" 4 12 "None" "Yes" 39.59 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Two Year" "No" "Credit Card" 25.25 274.7 0 0 475.08 "Female" 39 "Yes" "Yes" 2 33.529047 -117.701175 62103 0 2646 0 0 "-99"
"437" "No" 0 2 "Offer E" "Yes" 45.41 "Yes" "Yes" "DSL" 20 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Mailed Check" 77.844 156.4 0 31 90.82 "Male" 79 "No" "No" 0 41.962127 -122.527696 1026 1 5378 4 0 "-99"
"2431" "No" 0 10 "Offer D" "Yes" 35.63 "Yes" "Yes" "DSL" 20 "No" "No" "No" "No" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 99.008 930.4 0 18.61 356.3 "Male" 54 "No" "No" 0 41.528541 -122.955018 295 1 4922 4 0 "-99"
"3892" "No" 0 1 "None" "Yes" 30.09 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 20.45 20.45 0 0 30.09 "Male" 26 "No" "No" 0 34.441123 -117.537886 12463 0 4845 1 1 "s4"
"3347" "Yes" 10 5 "None" "Yes" 8.04 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Credit Card" 19.45 86.05 0 0 40.2 "Male" 20 "Yes" "Yes" 1 38.505995 -123.187019 438 0 4573 0 0 "-99"
"449" "Yes" 1 57 "Offer B" "Yes" 42.1 "Yes" "Yes" "Cable" 3 "No" "No" "Yes" "No" "Yes" "Yes" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 104.624 5746.15 0 0 2399.7 "Male" 73 "Yes" "No" 0 33.840399 -118.353714 41979 1 5247 4 3 "s1"
"3034" "No" 0 11 "Offer D" "Yes" 44.53 "No" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "Month-to-Month" "Yes" "Credit Card" 20.45 237.3 0 0 489.83 "Male" 63 "No" "No" 0 34.613476 -118.256358 34045 0 2642 0 0 "-99"
"2586" "Yes" 4 45 "Offer B" "Yes" 22.49 "Yes" "No" "None" 0 "No" "No" "No" "No" "No" "No" "No" "No" "One Year" "Yes" "Credit Card" 25.9 1216.6 0 0 1012.05 "Female" 48 "Yes" "No" 0 33.86532 -118.396336 18693 0 5741 3 2 "-99"
"1565" "No" 0 1 "None" "Yes" 40.4 "No" "Yes" "DSL" 14 "No" "No" "No" "No" "No" "No" "No" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 74.204 71.35 0 0 40.4 "Female" 43 "No" "No" 0 33.03679 -115.60503 2388 0 2619 6 1 "s3"
"3513" "No" 0 3 "None" "Yes" 17.01 "No" "Yes" "Fiber Optic" 28 "No" "Yes" "No" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "No" "Bank Withdrawal" 95.4 293.15 0 82 51.03 "Female" 52 "No" "No" 0 39.225634 -121.156163 1601 0 2813 1 1 "s3"
"3236" "Yes" 4 7 "None" "Yes" 12.16 "No" "Yes" "DSL" 9 "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "Yes" "Month-to-Month" "No" "Bank Withdrawal" 81.25 580.1 1 0 85.12 "Female" 38 "Yes" "No" 0 36.810568 -121.503022 3402 0 5928 2 1 "s3"
"5001" "Yes" 10 51 "Offer B" "Yes" 25.45 "Yes" "Yes" "DSL" 4 "No" "Yes" "No" "Yes" "Yes" "Yes" "Yes" "Yes" "One Year" "Yes" "Credit Card" 78.65 3950.85 0 15.8 1297.95 "Female" 35 "Yes" "No" 0 33.617108 -117.253349 19368 0 5408 0 0 "-99"
"2057" "Yes" 1 33 "None" "Yes" 11.32 "Yes" "Yes" "DSL" 13 "No" "Yes" "Yes" "No" "Yes" "Yes" "Yes" "No" "Month-to-Month" "Yes" "Bank Withdrawal" 108.576 3409.6 0 443 373.56 "Female" 46 "Yes" "No" 0 41.162295 -124.027381 2369 1 3185 2 3 "-99"
"3848" "No" 0 51 "None" "Yes" 42.93 "Yes" "Yes" "DSL" 11 "No" "Yes" "No" "No" "No" "No" "No" "No" "Month-to-Month" "No" "Bank Withdrawal" 81 4085.75 0 449 2189.43 "Male" 54 "No" "No" 0 34.167236 -116.281511 8141 0 4121 0 0 "-99"
